slab_id,width_mm,gauge_mm,hardness,steel_grade,rolling_length_m,weight_t,priority,power_per_ton
0,1397.0,7.9,5,G3,310.5,26.9,3,160.8
1,1541.0,1.52,5,G0,1299.8,23.9,2,103.04
2,1080.0,1.58,3,G1,2015.6,27.0,2,118.16
3,1189.0,8.72,3,G5,335.4,27.3,3,192.44
4,916.0,3.3,3,G6,931.4,22.1,3,196.6
5,878.0,7.15,5,G6,452.5,22.3,3,204.3
6,1114.0,6.27,2,G7,364.8,20.0,2,217.54
7,1547.0,6.12,3,G3,247.6,18.4,2,157.24
8,1116.0,10.81,1,G0,160.5,15.2,3,121.62
9,1482.0,1.95,4,G6,745.0,16.9,2,193.9
10,1376.0,11.49,3,G7,204.7,25.4,2,227.98
11,1250.0,3.6,2,G4,823.8,29.1,1,167.2
12,1309.0,8.09,2,G1,333.2,27.7,1,131.18
13,1432.0,5.21,5,G2,278.3,16.3,1,140.42
14,1436.0,3.33,3,G3,780.5,29.3,2,151.66
15,1566.0,5.91,4,G6,318.0,23.1,1,201.82
16,957.0,1.48,5,G6,1744.9,19.4,1,192.96
17,843.0,6.91,4,G1,358.6,16.4,2,128.82
18,1007.0,9.89,1,G4,339.0,26.5,1,179.78
19,1207.0,8.26,3,G5,265.8,20.8,3,191.52
20,882.0,8.36,2,G5,393.9,22.8,1,191.72
21,1504.0,7.89,4,G0,206.1,19.2,2,115.78
22,1044.0,3.83,1,G2,484.3,15.2,3,137.66
23,1111.0,4.06,2,G1,838.8,29.7,3,123.12
24,1123.0,12.63,2,G5,220.0,24.5,3,200.26
25,1108.0,6.84,3,G3,403.4,24.0,3,158.68
26,1464.0,3.18,5,G2,629.3,23.0,3,136.36
27,1324.0,7.08,4,G5,388.7,28.6,2,189.16
28,830.0,7.59,4,G5,461.0,22.8,2,190.18
29,1198.0,8.06,5,G1,394.5,29.9,2,131.12
30,876.0,5.78,5,G5,563.6,22.4,1,186.56
31,1335.0,12.34,5,G6,228.9,29.6,3,214.68
32,936.0,11.84,4,G3,317.3,27.6,2,168.68
33,1332.0,11.64,3,G7,181.6,22.1,2,228.28
34,950.0,5.33,2,G1,729.6,29.0,3,125.66
35,1209.0,6.05,4,G1,353.5,20.3,1,127.1
36,809.0,2.57,5,G3,1568.5,25.6,3,150.14
37,990.0,7.25,3,G6,314.1,17.7,1,204.5
38,1558.0,8.07,2,G4,276.6,27.3,2,176.14
39,1022.0,4.04,3,G7,900.9,29.2,3,213.08
40,1385.0,6.01,3,G5,416.3,27.2,3,187.02
41,931.0,3.16,3,G5,1004.6,23.2,2,181.32
42,1156.0,7.31,3,G2,449.2,29.8,1,144.62
43,1253.0,2.08,4,G6,777.2,15.9,1,194.16
44,1365.0,8.36,4,G1,231.1,20.7,1,131.72
45,1094.0,1.67,3,G6,1359.7,19.5,2,193.34
46,1089.0,8.59,2,G2,281.9,20.7,2,147.18
47,1482.0,10.2,1,G2,196.4,23.3,3,150.4
48,1108.0,12.46,1,G3,258.4,28.0,2,169.92
49,864.0,3.96,1,G2,934.5,25.1,3,137.92
50,944.0,3.0,4,G6,683.7,15.2,3,196.0
51,1390.0,9.69,4,G4,208.1,22.0,2,179.38
52,990.0,8.94,5,G6,269.2,18.7,1,207.88
53,1343.0,12.13,3,G2,197.8,25.3,3,154.26
54,1226.0,12.17,4,G3,166.5,19.5,1,169.34
55,837.0,7.18,2,G0,464.2,21.9,2,114.36
56,1210.0,1.88,3,G3,1243.2,22.2,3,148.76
57,1425.0,7.85,1,G1,190.2,16.7,2,130.7
58,1287.0,6.36,1,G6,233.4,15.0,3,202.72
59,1515.0,10.49,1,G1,160.3,20.0,2,135.98
60,1476.0,5.34,2,G4,252.1,15.6,3,170.68
61,834.0,9.1,2,G6,359.2,21.4,3,208.2
62,1123.0,2.32,2,G1,1183.3,24.2,1,119.64
63,906.0,7.21,1,G5,444.6,22.8,3,189.42
64,1105.0,11.15,2,G4,300.9,29.1,1,182.3
65,1004.0,7.42,3,G1,273.6,16.0,2,129.84
66,1331.0,6.35,5,G0,372.3,24.7,2,112.7
67,893.0,2.74,4,G3,1520.2,29.2,3,150.48
68,1233.0,8.44,5,G5,249.7,20.4,3,191.88
69,1579.0,3.74,3,G4,414.2,19.2,2,167.48
70,1531.0,9.11,2,G3,141.6,15.5,1,163.22
71,1549.0,9.2,3,G4,150.2,16.8,1,178.4
72,1531.0,4.71,3,G5,510.5,28.9,1,184.42
73,1130.0,8.05,1,G7,221.3,15.8,3,221.1
74,1270.0,2.3,1,G4,728.3,16.7,2,164.6
75,1317.0,3.07,1,G0,853.8,27.1,1,106.14
76,1402.0,5.73,4,G0,323.5,20.4,3,111.46
77,1558.0,8.69,5,G0,195.7,20.8,3,117.38
78,983.0,5.91,4,G0,640.3,29.2,2,111.82
79,1285.0,7.83,2,G4,273.5,21.6,1,175.66
80,974.0,7.67,2,G7,329.1,19.3,2,220.34
81,1466.0,9.55,4,G3,268.4,29.5,2,164.1
82,1352.0,8.72,5,G5,236.6,21.9,1,192.44
83,1496.0,6.13,4,G3,298.7,21.5,2,157.26
84,1235.0,3.52,3,G4,674.0,23.0,1,167.04
85,940.0,1.95,1,G0,1257.9,18.1,2,103.9
86,1489.0,8.48,5,G4,270.4,26.8,1,176.96
87,1213.0,8.92,2,G0,244.9,20.8,1,117.84
88,1190.0,8.54,5,G0,189.3,15.1,1,117.08
89,1297.0,10.42,3,G1,238.5,25.3,2,135.84
90,1305.0,5.73,5,G7,323.7,19.0,2,216.46
91,1263.0,3.49,1,G7,595.3,20.6,2,211.98
92,1213.0,5.74,3,G5,294.6,16.1,1,186.48
93,1126.0,10.1,4,G5,169.1,15.1,1,195.2
94,1153.0,1.37,2,G4,1451.6,18.0,1,162.74
95,1066.0,12.06,4,G5,167.5,16.9,2,199.12
96,900.0,2.05,5,G0,1063.3,15.4,2,104.1
97,1360.0,4.15,1,G7,645.5,28.6,1,213.3
98,995.0,10.75,5,G1,212.0,17.8,2,136.5
99,816.0,1.53,3,G0,1918.3,18.8,3,103.06
100,980.0,12.67,4,G7,234.9,22.9,1,230.34
101,1369.0,6.86,1,G0,291.6,21.5,2,113.72
102,903.0,1.9,3,G2,2190.3,29.5,3,133.8
103,1475.0,11.22,1,G1,117.8,15.3,3,137.44
104,1491.0,7.87,3,G7,181.3,16.7,2,220.74
105,1567.0,11.31,4,G6,140.9,19.6,1,212.62
106,1355.0,12.04,2,G2,209.3,26.8,2,154.08
107,1323.0,12.18,4,G6,165.2,20.9,2,214.36
108,1202.0,7.18,3,G3,403.0,27.3,1,159.36
109,1369.0,6.64,5,G3,277.5,19.8,3,158.28
110,808.0,11.04,2,G5,418.4,29.3,3,197.08
111,1467.0,11.7,1,G4,177.4,23.9,3,183.4
112,1573.0,8.87,1,G5,175.3,19.2,2,192.74
113,1334.0,6.23,3,G3,347.9,22.7,2,157.46
114,801.0,6.2,2,G7,502.8,19.6,1,217.4
115,1596.0,1.75,3,G0,1076.4,23.6,3,103.5
116,958.0,4.55,2,G5,783.2,26.8,3,184.1
117,1540.0,4.43,3,G5,468.7,25.1,3,183.86
118,1352.0,9.82,1,G3,261.0,27.2,2,164.64
119,892.0,10.79,3,G0,374.6,28.3,2,121.58
120,861.0,11.22,4,G4,270.3,20.5,2,182.44
121,908.0,1.15,5,G7,2330.1,19.1,2,207.3
122,887.0,3.87,1,G5,608.6,16.4,1,182.74
123,1148.0,9.76,1,G5,229.7,20.2,2,194.52
124,935.0,11.8,5,G0,311.7,27.0,1,123.6
125,908.0,3.09,2,G2,1012.5,22.3,1,136.18
126,947.0,10.25,2,G6,345.2,26.3,2,210.5
127,961.0,2.27,1,G5,1658.4,28.4,2,179.54
128,1103.0,11.42,5,G2,250.8,24.8,2,152.84
129,1541.0,6.8,5,G2,319.7,26.3,3,143.6
130,1011.0,5.32,5,G3,379.0,16.0,1,155.64
131,1334.0,2.33,4,G2,778.7,19.0,3,134.66
132,804.0,8.96,2,G3,320.1,18.1,1,162.92
133,1295.0,8.64,1,G4,285.8,25.1,3,177.28
134,1595.0,4.18,2,G1,464.3,24.3,2,123.36
135,1263.0,11.07,3,G5,252.4,27.7,3,197.14
136,1344.0,5.51,3,G6,486.8,28.3,2,201.02
137,1458.0,3.79,5,G3,610.9,26.5,2,152.58
138,1145.0,4.16,3,G1,545.6,20.4,1,123.32
139,1399.0,5.35,3,G4,381.2,22.4,2,170.7
140,1198.0,7.64,4,G7,286.7,20.6,3,220.28
141,1175.0,3.37,5,G5,955.5,29.7,1,181.74
142,1120.0,6.38,3,G7,336.9,18.9,2,217.76
143,1192.0,4.71,1,G1,537.8,23.7,2,124.42
144,1126.0,12.54,3,G3,136.2,15.1,2,170.08
145,1301.0,1.56,4,G0,1631.9,26.0,3,103.12
146,1353.0,1.1,4,G7,1438.0,16.8,3,207.2
147,1055.0,1.08,2,G5,2034.8,18.2,1,177.16
148,1237.0,7.1,4,G3,307.5,21.2,1,159.2
149,1265.0,8.6,1,G3,227.2,19.4,1,162.2
150,819.0,10.36,5,G2,322.8,21.5,2,150.72
151,1253.0,7.39,3,G6,240.8,17.5,3,204.78
152,1053.0,2.05,2,G3,1664.2,28.2,1,149.1
153,847.0,2.47,3,G6,1784.1,29.3,3,194.94
154,1138.0,11.22,5,G4,200.5,20.1,1,182.44
155,922.0,2.94,4,G5,1221.9,26.0,3,180.88
156,1093.0,9.56,5,G7,306.0,25.1,3,224.12
157,1523.0,1.39,2,G7,1498.4,24.9,3,207.78
158,1265.0,9.59,5,G6,285.6,27.2,3,209.18
159,888.0,9.52,2,G6,334.5,22.2,3,209.04
160,1301.0,3.31,3,G2,763.2,25.8,3,136.62
161,1348.0,4.0,3,G7,630.8,26.7,2,213.0
162,1270.0,3.56,2,G3,648.0,23.0,3,152.12
163,890.0,9.4,5,G2,353.3,23.2,3,148.8
164,1094.0,5.47,4,G3,361.9,17.0,3,155.94
165,1463.0,10.96,3,G2,216.1,27.2,3,151.92
166,1127.0,8.91,4,G1,319.7,25.2,1,132.82
167,1256.0,4.56,4,G7,582.7,26.2,1,214.12
168,1084.0,7.73,2,G0,272.1,17.9,1,115.46
169,1589.0,7.8,5,G1,200.4,19.5,1,130.6
170,813.0,11.96,4,G0,250.2,19.1,2,123.92
171,838.0,2.72,5,G2,1648.7,29.5,3,135.44
172,1114.0,10.38,2,G2,301.9,27.4,3,150.76
173,1377.0,8.26,5,G7,248.6,22.2,3,221.52
174,870.0,11.64,5,G0,294.4,23.4,1,123.28
175,1188.0,3.68,3,G6,463.3,15.9,2,197.36
176,1540.0,9.5,1,G5,163.7,18.8,1,194.0
177,1061.0,7.66,1,G1,261.8,16.7,1,130.32
178,1146.0,12.06,2,G1,200.9,21.8,1,139.12
179,844.0,11.09,3,G7,326.6,24.0,3,227.18
180,835.0,5.46,4,G4,536.5,19.2,3,170.92
181,1452.0,10.31,2,G5,169.3,19.9,3,195.62
182,1293.0,7.67,3,G4,282.6,22.0,3,175.34
183,1479.0,3.39,4,G5,487.8,19.2,2,181.78
184,1167.0,9.47,3,G5,296.2,25.7,1,193.94
185,903.0,11.49,4,G3,219.8,17.9,3,167.98
186,833.0,12.35,2,G5,255.1,20.6,3,199.7
