slab_id,width_mm,gauge_mm,hardness,steel_grade,rolling_length_m,weight_t,priority,power_per_ton
0,1159.0,6.38,5,G4,325.6,18.9,2,172.76
1,1034.0,7.01,3,G7,314.6,17.9,3,219.02
2,1056.0,2.86,3,G1,1033.4,24.5,2,120.72
3,843.0,5.57,4,G2,700.0,25.8,2,141.14
4,1088.0,8.66,4,G6,398.8,29.5,1,207.32
5,1103.0,4.92,4,G0,551.6,23.5,3,109.84
6,1368.0,5.67,2,G4,430.3,26.2,3,171.34
7,954.0,9.91,5,G1,396.1,29.4,2,134.82
8,1020.0,8.82,5,G0,414.9,29.3,1,117.64
9,809.0,6.72,2,G5,389.0,16.6,2,188.44
10,892.0,10.19,4,G3,249.5,17.8,2,165.38
11,957.0,7.15,4,G2,381.7,20.5,2,144.3
12,1349.0,11.86,4,G7,235.7,29.6,3,228.72
13,976.0,10.78,5,G3,192.5,15.9,1,166.56
14,1154.0,6.47,4,G2,310.5,18.2,3,142.94
15,1470.0,3.42,4,G7,478.9,18.9,1,211.84
16,1508.0,7.3,4,G2,223.3,19.3,3,144.6
17,1593.0,5.12,5,G2,335.8,21.5,2,140.24
18,944.0,5.08,3,G4,462.2,17.4,1,170.16
19,1349.0,12.62,1,G5,145.9,19.5,1,200.24
20,1397.0,9.01,4,G3,283.4,28.0,1,163.02
21,1224.0,6.93,5,G2,441.5,29.4,3,143.86
22,1270.0,6.04,3,G0,450.0,27.1,2,112.08
23,1523.0,11.18,5,G6,122.7,16.4,3,212.36
24,1467.0,1.14,4,G7,1957.6,25.7,1,207.28
25,1372.0,7.41,1,G3,340.8,27.2,1,159.82
26,1308.0,4.26,3,G5,505.2,22.1,2,183.52
27,924.0,2.26,2,G1,1653.2,27.1,2,119.52
28,938.0,9.91,5,G2,235.7,17.2,2,149.82
29,985.0,12.55,5,G0,258.7,25.1,3,125.1
30,1073.0,1.21,5,G7,2580.5,26.3,3,207.42
31,843.0,11.58,4,G6,262.3,20.1,2,213.16
32,1415.0,10.78,2,G0,167.0,20.0,3,121.56
33,1052.0,6.83,3,G2,507.1,28.6,1,143.66
34,893.0,10.79,4,G6,380.8,28.8,2,211.58
35,1170.0,4.71,3,G0,351.4,15.2,2,109.42
36,1112.0,7.49,3,G3,292.1,19.1,3,159.98
37,1586.0,6.39,1,G7,243.9,19.4,1,217.78
38,1485.0,6.16,4,G7,408.0,29.3,3,217.32
39,1278.0,1.75,4,G5,1611.9,28.3,3,178.5
40,911.0,10.5,5,G1,259.7,19.5,1,136.0
41,904.0,12.42,5,G6,330.2,29.1,1,214.84
42,1588.0,7.73,2,G0,304.1,29.3,3,115.46
43,963.0,5.87,5,G1,615.2,27.3,1,126.74
44,1262.0,6.24,2,G7,372.1,23.0,3,217.48
45,1186.0,6.15,1,G1,358.0,20.5,1,127.3
46,949.0,10.99,1,G1,338.3,27.7,3,136.98
47,1041.0,3.8,1,G2,763.2,23.7,1,137.6
48,804.0,9.59,4,G1,416.3,25.2,1,134.18
49,844.0,11.67,4,G4,250.9,19.4,3,183.34
50,963.0,1.78,5,G7,1538.3,20.7,2,208.56
51,1488.0,10.08,5,G6,183.5,21.6,2,210.16
52,1081.0,11.12,2,G7,284.0,26.8,3,227.24
53,1483.0,8.35,5,G7,263.4,25.6,2,221.7
54,1225.0,9.42,3,G5,290.3,26.3,3,193.84
55,1502.0,2.57,3,G3,564.3,17.1,1,150.14
56,1319.0,11.79,5,G4,141.7,17.3,2,183.58
57,1001.0,4.3,1,G6,710.3,24.0,1,198.6
58,1444.0,11.88,1,G3,179.7,24.2,3,168.76
59,1327.0,1.93,2,G2,1313.1,26.4,3,133.86
60,1197.0,1.08,4,G1,1616.1,16.4,2,117.16
61,1352.0,7.77,2,G3,220.7,18.2,3,160.54
